Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
North Devon,2017-04-20T00:00:00.000Z,2017-04-21T00:00:00.000Z,2142,THEFT FROM MV < $5000,4,Fredericton,1287
North Devon,2017-05-01T00:00:00.000Z,,2142,THEFT FROM MV < $5000,4,Fredericton,1288
North Devon,2017-08-17T00:00:00.000Z,,2142,THEFT FROM MV < $5000,4,Fredericton,1289
North Devon,2017-08-29T00:00:00.000Z,2017-08-30T00:00:00.000Z,2142,THEFT FROM MV < $5000,4,Fredericton,1290
North Devon,2017-10-14T00:00:00.000Z,2017-10-15T00:00:00.000Z,2142,THEFT FROM MV < $5000,4,Fredericton,1291
North Devon,2017-02-19T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1292
North Devon,2017-02-20T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1293
North Devon,2017-03-15T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1294
North Devon,2017-03-21T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1295
North Devon,2017-04-08T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1296
North Devon,2017-04-11T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1297
North Devon,2017-04-19T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1298
North Devon,2017-04-19T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1299
North Devon,2017-04-15T00:00:00.000Z,,2170,MISCHIEF TO PROP,3,Fredericton,1300
North Devon,2017-02-03T00:00:00.000Z,2017-02-03T00:00:00.000Z,2140,THEFT OTH <$5000,4,Fredericton,1301
North Devon,2017-09-04T00:00:00.000Z,,2140,THEFT OTH <$5000,4,Fredericton,1302
Rail Side,2017-02-08T00:00:00.000Z,2017-02-09T00:00:00.000Z,2142,THEFT FROM MV < $5000,12,Fredericton,1303
